Name,Calories,FatContent,CarbohydrateContent,ProteinContent,SugarContent,SodiumContent,Images,cluster
Whipping Cream Cake,6709.6,304.2,930.1,78.2,602.1,2152.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/41/pic2xbgft.jpg""",1
Pop-Up Pizza,409.2,23.7,16.7,31.0,1.6,494.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/68/66/picFKkAAy.jpg""",0
Oatmeal Muffins,188.2,9.7,22.6,3.2,10.0,210.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/picBrw636.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/picXg8AGq.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/pic49Y5jk.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/picHWdak6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/pic0kvrDG.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/pic8u0QIi.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/picQljc2y.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/picrisEBW.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/picMIYvy3.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/picldRhCG.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/7/picyLC19Y.jpg"")",0
Satisfying Sauerkraut Salad,59.3,3.6,6.7,1.2,3.1,700.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/60/9/piczy4fCo.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/60/9/piciqrmyr.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/60/9/picce8Ctq.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/60/9/picnVQPdg.jpg"")",0
Spinach-Cheese Puffs,2394.3,171.1,111.6,100.2,1.9,4942.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/79/23/picYob4Di.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/79/23/picyVgmBJ.jpg"")",2
Baked Acorn Squash &amp; Brown Sugar,112.4,0.2,29.2,1.7,6.7,8.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/85/62/picBYao7T.jpg""",0
Mom's Molasses Cookies,295.9,13.5,41.5,3.0,21.8,272.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/88/picz6UPxw.jpg""",0
Coffee Granita,182.2,12.7,17.4,0.8,16.4,20.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/91/47/picCNvvwB.jpg""",0
Fresh Tomato Spaghetti Sauce,584.2,41.7,21.5,31.8,12.3,1368.4,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/7/01471043441.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/7/osCQHZXBSf6lCO0ShzHw-DSC_0720.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/7/J3gfYTVSDm5SaW0eXXAI-pasta-sauce.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/7/ltSBbDsTpK2enpunGxFj-DSC_0713.JPG"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/7/picgrpQRt.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/83/7/picwRSMQF.jpg"")",5
Strawberry Cheesecake,390.3,20.5,48.2,5.1,40.7,246.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/01505762294.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/kV5nIq9ReeGFthWUYKLA-IMG_0967.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/pica9rz1x.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/picA1kcTY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/picoc5mZM.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/picXbBLLC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/piczxLfGZ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/picpvLjqI.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/piciXXFcX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/picEe9G6x.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/49/1149.jpeg"")",0
My Mom's Potato Salad,218.3,13.7,22.1,3.3,4.4,405.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/93/2/picyk5sxj.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/93/2/pic7XyvOY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/93/2/picKTFoW3.jpg"")",0
Basic French Silk Pie,337.2,21.3,32.3,4.5,24.2,208.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/45/2/pic6zpELl.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/45/2/picmJJCvA.jpg"")",0
Three Cheese Enchiladas,740.1,42.1,59.0,31.9,6.5,1574.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/15/7/lnEwgHQcTZWO5SLRAQSO_leftover-chicken-enchiladas-4223.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/15/7/ESarzjOIQvaDRU3EQzKg_leftover-chicken-enchiladas-4206.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/15/7/picfWj8nN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/15/7/01495581500.jpeg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/15/7/HM4BLx6QQJGDLnxIBmKY_leftover-chicken-enchiladas-4207.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/15/7/qY50nqFqQ4qh3AmN0NZA_leftover-chicken-enchiladas-4216.jpg"")",5
Taco Rice,566.9,24.3,56.3,28.6,3.3,293.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/32/picmHlvXI.jpg""",5
Key Lime Pie,448.4,16.5,68.6,9.1,58.7,283.3,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/12/pict4qonu.jpg""",0
Mashed Potato Casserole (Perunasoselaatikko),780.4,41.0,89.5,16.8,12.4,357.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/40/picVK4x2L.jpg""",5
Olive Garden Pasta E Fagioli,506.2,18.9,52.8,31.6,14.9,1709.4,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/xKkJBh3tS9u6XniOwu4R_DSC_0179.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/picUSiO5p.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/pichHUNic.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/anlqDfhcT5W9DwhIDLUD_DSC_0190.JPG"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/QStWrRlUSJqS5cItRWVN_DSC_0186.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/ZtWvLcKTQWslyRfHUpLj_DSC_0181.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/picgyqohE.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/picBfHxnA.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/pica85nkb.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/picH0upxU.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/pichufoAp.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/1/pickrd53d.jpg"")",5
Sourdough Pancakes #2,142.6,10.2,9.5,3.7,9.5,943.2,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/70/12/QzzXEFIzQcKBU7gJh2Hs_DSC00020.JPG""",0
"tomato, cucumber, & onion salad",42.6,0.3,9.9,1.8,5.0,7.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/25/3/picP2nS4J.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/25/3/picTi8Eez.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/25/3/picUJ92Ki.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/25/3/picBeVxwZ.jpg"")",0
Saucy Meatballs,806.6,53.7,60.5,20.8,5.5,5787.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/80/61/pictO3pDm.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/80/61/picp5cIjJ.jpg"")",5
Never Fail Pie Crust II,1646.6,116.3,131.2,19.3,0.5,1185.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/42/79/picslmdmM.jpg""",5
Buffalo Chicken Wings,504.1,43.6,0.0,27.0,0.0,172.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/87/2/12872.jpg""",5
Simply Southern Pecan Pie,3909.2,215.1,494.2,40.6,231.0,2954.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/48/7/pic4Wam6H.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/48/7/picjpADnB.jpg"")",2
Home Fries,820.0,1.0,186.1,21.5,8.3,63.9,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/24/60/pic6nqT8g.jpg""",0
Solo Cheddar Puff Cake,565.4,33.0,36.8,29.0,0.7,773.9,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/52/picMEwUoC.jpg""",5
Hungarian Chicken Paprika,848.1,58.3,24.3,54.4,4.8,1067.1,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/48/82/4i6o9lZR6y7AjnHzud0W_1415749617377.jpg""",5
Nat's Favorite Steak Marinade,252.7,27.0,4.0,0.2,1.2,84.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/79/26/picPqAX17.jpg""",0
Oyster Stuffing,278.9,9.4,37.1,11.1,4.9,674.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/43/66/3Jbn9ymVRZmSQGNHhHSR_oyster-stuffing-maple-turkey-3792.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/43/66/0b8Vr1zTCmeNnAmxVfMC_oyster-stuffing-maple-turkey-3802.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/43/66/SV1PnUoTqiJGXxqLi7dC_oyster-stuffing-maple-turkey-3784.jpg"")",0
Easy Pumpkin Dessert,290.9,14.0,38.3,4.7,24.3,259.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/75/pic6tiJ5x.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/39/75/picJl8wOo.jpg"")",0
Handmade Basic Mayonnaise,1486.1,166.2,0.8,2.5,0.1,1202.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/21/picE8DA9e.jpg"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/3621/UrDw1fyqQQyvBcw9iLfT_image.jpg"")",5
Fruit Filled Coffee Cake,159.8,4.8,26.7,2.7,14.7,124.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/26/pic1t0I4Q.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/26/pic03c9bk.jpg"")",0
Caribbean Shrimp,142.8,3.7,8.9,18.3,4.4,946.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/01/1/6JYOdED9Qyma6jkvtnT8_CS%205%20final%20-%20caribbean%20shrimp.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/01/1/rcjj7RFSpOXdAPtJSiAB_CS%205%20final%20-%20caribbean%20shrimp.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/01/1/N173bueuTmyMWsdJqu52_CS%204%20final%20-%20caribbean%20shrimp.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/01/1/picQVjHvA.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/01/1/picmCrxIF.jpg"")",0
Caramel Apple Pie II,321.6,13.6,49.5,3.7,13.5,243.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/09/picrzMx26.jpg""",0
Lemon Cream Cheese Pie with Berries,136.2,13.0,3.1,2.3,1.8,121.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/pic8KCNCd.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/picV7XHE4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/pic0w6l0s.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/picXVsxIk.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/pic6MjSAW.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/picjTmr9r.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/picy47DBA.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/picZVHR5d.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/21/0/picJEDIIk.jpg"")",0
Blackberry Jam Cake,720.1,23.9,123.9,5.0,95.2,347.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/69/45/picJl2Anc.jpg""",0
Healthy Pie Crust,1231.1,74.7,121.5,17.8,0.4,1190.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/82/0/picC6KbOG.jpg""",5
Coconutty Macaroons,118.8,9.4,8.4,2.0,5.7,43.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/33/5/picWdtVt3.jpg""",0
Black Bean Dip,266.6,7.0,38.0,14.6,0.1,163.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/80/17/picZ2qoOT.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/80/17/picFYKYgF.jpg"")",0
Maple-Mustard Grilled Chicken,208.8,4.3,15.1,26.4,12.2,565.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/65/picmtTu2v.jpg""",0
Basic Breakfast Pancakes,707.3,31.9,87.3,18.1,6.7,1331.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/69/picq8Bc5q.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/69/pic0sDds1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/69/piccJX7o6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/69/picbBta3Z.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/69/pic3EpOUP.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/69/picExp2SE.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/69/picMbWcjJ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/71/69/picHxx0pE.jpg"")",5
Chicken Breasts Lombardi,627.7,24.9,13.7,57.9,2.0,848.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/m1z1F8S5mAZgyImm5zYw_Lombardi%20Chicken%203.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/01481162521.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/Sa0Yu0UyRoyh1B03oLnD_20161102_174049.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/01477708512.jpeg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/tHou0UsyTiAsfQo29Fpi_Lombardi%20Chicken%202.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/X2b0bl8aTGivq4ErsD3g_Lombardi%20chicken%201.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/49/picvZU6rd.jpg"")",5
Peanut Butter Fudge III,1529.8,62.4,241.9,13.7,223.0,696.1,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/97/picRkNMUF.jpg""",2
Lemon Cake,335.2,13.0,51.9,4.1,33.8,476.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/19/5/pic0M44zn.jpg""",0
creamed corn,462.9,7.7,101.8,13.8,14.6,90.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/24/8/picjwfF10.jpg""",0
Mississippi Mud Pie,1357.2,84.0,139.0,18.6,94.2,1341.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/0/pic2hRNAO.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/46/0/teE5XsANTfWgXKPoZJx4_E20C5448-EEDD-4BE7-8C02-47847A974985.jpeg"")",5
Buttermilk Southern Fried Chicken,655.4,35.8,30.4,49.8,6.0,1451.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/32/94/pic0v9fTA.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/32/94/pic7bDGYR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/32/94/picNarULU.jpg"")",5
Spinach Ala Pesto Pasta,948.4,64.2,68.9,27.4,0.8,356.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/78/2/picHfPrKQ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/78/2/pic2dL2Sr.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/78/2/picyicF32.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/78/2/picuAkPxv.jpg"")",5
Garlic &amp; Parsley New Potatoes,392.0,4.1,82.2,9.9,6.6,93.4,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/mQlNxrjfTeipGzSqprdp_garlic-parsley-new-potatoes-3293.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/3pk2uusKQ6WoDUy8IsNR_garlic-parsley-new-potatoes-3291.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/5nFIFEhDRtOeh0Qw9Wrm_garlic-parsley-new-potatoes-3299.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/08ieYDuTTeO4uXR1IjfY_garlic-parsley-new-potatoes-3292.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/pichZsUES.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/pichmrreO.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/picZ5zpWF.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/picbw2mbi.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/2/picI9tWAL.jpg""
)",0
Greek Salad,242.1,19.3,12.6,6.9,6.5,604.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/77/7/pic6JNunh.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/77/7/picFMm3lP.jpg"")",0
